price,rating,totalReviews,hybrid_feature1,hybrid_feature2
8.99,4.5,361.0,374.49,3240.89
18.9,4.6,85.0,108.5,1601.8999999999999
15.97,4.6,1586.0,1606.57,25323.820000000003
14.0,4.6,838.0,856.6,11727.4
9.88,4.4,735.0,749.28,7257.400000000001
9.88,4.4,5035.0,5049.28,49741.4
15.99,4.7,156.0,176.69,2489.7400000000002
11.99,4.3,1411.0,1427.29,16913.59
15.99,4.3,22838.0,22858.29,365175.32
12.99,4.3,54446.0,54463.29,707249.24
6.49,4.3,5236.0,5246.79,33977.34
14.99,4.5,30047.0,30066.49,450400.03
9.49,4.2,1351.0,1364.69,12816.789999999999
9.99,4.4,7586.0,7600.389999999999,75779.74
24.99,4.3,426.0,455.29,10641.44
38.24,5.0,20.0,63.24,759.8000000000001
36.9,4.7,606.0,647.6,22356.699999999997
9.99,4.3,24024.0,24038.29,239995.46000000002
